time_sec,lap,driver,detection_point,gap_to_ahead,status
144.64633333333327,2,Oscar Piastri,DP1 (3510m),0.0,DENIED
147.5463333333331,2,Lando Norris,DP1 (3510m),2.786,DENIED
148.67966666666638,2,Verstappen,DP1 (3510m),1.123,DENIED
152.37966666666617,2,George Russell,DP1 (3510m),3.028,DENIED
161.97966666666562,2,Oscar Piastri,DP2 (4550m),0.0,DENIED
162.7129999999989,2,Charles Leclerc,DP1 (3510m),9.184,DENIED
164.77966666666546,2,Antonelli,DP1 (3510m),1.584,DENIED
165.74633333333207,2,Lando Norris,DP2 (4550m),3.756,DENIED
167.146333333332,2,Lewis Hamilton,DP1 (3510m),1.836,DENIED
169.84633333333184,2,Verstappen,DP2 (4550m),3.781,DENIED
170.67966666666513,2,Albon,DP1 (3510m),2.826,DENIED
171.87966666666506,2,George Russell,DP2 (4550m),1.623,DENIED
175.70933333333315,2,Ocon,DP1 (3510m),4.496,DENIED
175.94266666666647,2,Stroll,DP1 (3510m),0.181,ELIGIBLE
177.1426666666664,2,Yuki,DP1 (3510m),1.076,DENIED
177.5759999999997,2,Sainz,DP1 (3510m),0.379,ELIGIBLE
177.9759999999997,2,Gasly,DP1 (3510m),0.309,ELIGIBLE
178.17599999999968,2,Hulkenberg,DP1 (3510m),0.147,ELIGIBLE
178.44266666666633,2,Bearman,DP1 (3510m),0.152,ELIGIBLE
178.47599999999966,2,Hadjar,DP1 (3510m),0.009,ELIGIBLE
179.97599999999957,2,Alonso,DP1 (3510m),1.314,DENIED
180.17599999999956,2,Lawson,DP1 (3510m),0.135,ELIGIBLE
180.37599999999955,2,Bortoleto,DP1 (3510m),0.138,ELIGIBLE
180.5759999999995,2,Colapinto,DP1 (3510m),0.139,ELIGIBLE
183.00933333333273,2,Charles Leclerc,DP2 (4550m),10.247,DENIED
185.4093333333326,2,Antonelli,DP2 (4550m),2.134,DENIED
185.8426666666659,2,Lewis Hamilton,DP2 (4550m),0.282,ELIGIBLE
189.1093333333324,2,Albon,DP2 (4550m),3.067,DENIED
195.67599999999868,2,Ocon,DP2 (4550m),6.166,DENIED
195.94266666666533,2,Stroll,DP2 (4550m),0.082,ELIGIBLE
196.80933333333195,2,Sainz,DP2 (4550m),0.666,ELIGIBLE
197.04266666666527,2,Yuki,DP2 (4550m),0.092,ELIGIBLE
197.87599999999856,2,Hadjar,DP2 (4550m),0.807,ELIGIBLE
197.97599999999855,2,Gasly,DP2 (4550m),0.006,ELIGIBLE
198.20933333333187,2,Hulkenberg,DP2 (4550m),0.095,ELIGIBLE
198.40933333333183,2,Bearman,DP2 (4550m),0.097,ELIGIBLE
199.97599999999844,2,Alonso,DP2 (4550m),1.291,DENIED
200.1759999999984,2,Lawson,DP2 (4550m),0.158,ELIGIBLE
200.3759999999984,2,Bortoleto,DP2 (4550m),0.151,ELIGIBLE
200.5759999999984,2,Colapinto,DP2 (4550m),0.173,ELIGIBLE
230.93433333333329,3,Oscar Piastri,DP1 (3510m),0.0,DENIED
231.9009999999999,3,Lando Norris,DP1 (3510m),0.883,ELIGIBLE
239.60099999999943,3,Verstappen,DP1 (3510m),7.25,DENIED
248.26766666666563,3,Oscar Piastri,DP2 (4550m),0.0,DENIED
249.46766666666556,3,George Russell,DP1 (3510m),7.719,DENIED
250.26766666666552,3,Lando Norris,DP2 (4550m),2.006,DENIED
254.66766666666527,3,Charles Leclerc,DP1 (3510m),4.5,DENIED
260.997333333335,3,Verstappen,DP2 (4550m),9.933,DENIED
261.0973333333351,3,Lewis Hamilton,DP1 (3510m),6.043,DENIED
266.7973333333396,3,Antonelli,DP1 (3510m),5.474,DENIED
266.93066666667306,3,George Russell,DP2 (4550m),6.287,DENIED
269.83066666667537,3,Albon,DP1 (3510m),3.074,DENIED
272.5306666666775,3,Charles Leclerc,DP2 (4550m),6.236,DENIED
275.9306666666802,3,Ocon,DP1 (3510m),5.395,DENIED
275.9640000000136,3,Hadjar,DP1 (3510m),0.038,ELIGIBLE
276.73066666668086,3,Hulkenberg,DP1 (3510m),0.6,ELIGIBLE
278.06400000001526,3,Stroll,DP1 (3510m),1.242,DENIED
278.3640000000155,3,Sainz,DP1 (3510m),0.291,ELIGIBLE
278.89733333334925,3,Gasly,DP1 (3510m),0.437,ELIGIBLE
279.06400000001605,3,Lewis Hamilton,DP2 (4550m),6.252,DENIED
279.16400000001613,3,Yuki,DP1 (3510m),0.248,ELIGIBLE
280.264000000017,3,Alonso,DP1 (3510m),0.887,ELIGIBLE
280.39733333335045,3,Bearman,DP1 (3510m),0.093,ELIGIBLE
280.96400000001756,3,Lawson,DP1 (3510m),0.467,ELIGIBLE
282.1640000000185,3,Bortoleto,DP1 (3510m),0.989,ELIGIBLE
282.29733333335196,3,Colapinto,DP1 (3510m),0.134,ELIGIBLE
283.6973333333531,3,Antonelli,DP2 (4550m),4.323,DENIED
289.3603333333347,3,Albon,DP2 (4550m),5.462,DENIED
295.5270000000063,3,Ocon,DP2 (4550m),5.11,DENIED
295.89366666667325,3,Hadjar,DP2 (4550m),0.261,ELIGIBLE
296.0270000000067,3,Hulkenberg,DP2 (4550m),0.108,ELIGIBLE
298.12700000000837,3,Stroll,DP2 (4550m),1.711,DENIED
298.3603333333419,3,Sainz,DP2 (4550m),0.16,ELIGIBLE
299.0270000000091,3,Gasly,DP2 (4550m),0.458,ELIGIBLE
299.1603333333425,3,Alonso,DP2 (4550m),0.046,ELIGIBLE
299.2603333333426,3,Yuki,DP2 (4550m),0.01,ELIGIBLE
300.1603333333433,3,Lawson,DP2 (4550m),0.567,ELIGIBLE
300.56033333334364,3,Bearman,DP2 (4550m),0.322,ELIGIBLE
301.89366666667803,3,Bortoleto,DP2 (4550m),0.974,ELIGIBLE
302.5603333333452,3,Colapinto,DP2 (4550m),0.612,ELIGIBLE
317.222333333334,4,Oscar Piastri,DP1 (3510m),0.0,DENIED
320.8890000000036,4,Lando Norris,DP1 (3510m),3.555,DENIED
334.55566666668113,4,Oscar Piastri,DP2 (4550m),0.0,DENIED
334.55566666668113,4,Verstappen,DP1 (3510m),14.456,DENIED
337.0890000000165,4,Lando Norris,DP2 (4550m),2.469,DENIED
339.02233333335136,4,George Russell,DP1 (3510m),4.182,DENIED
347.58533333333526,4,Charles Leclerc,DP1 (3510m),7.129,DENIED
