time_sec,lap,driver,detection_point,gap_to_ahead,status
144.6463333,2,Oscar Piastri,DP1 (3510m),0,DENIED
147.5463333,2,Lando Norris,DP1 (3510m),2.786,DENIED
148.6796667,2,Verstappen,DP1 (3510m),1.123,DENIED
152.3796667,2,George Russell,DP1 (3510m),3.028,DENIED
161.9796667,2,Oscar Piastri,DP2 (4550m),0,DENIED
162.713,2,Charles Leclerc,DP1 (3510m),9.184,DENIED
164.7796667,2,Antonelli,DP1 (3510m),1.584,DENIED
165.7463333,2,Lando Norris,DP2 (4550m),3.756,DENIED
167.1463333,2,Lewis Hamilton,DP1 (3510m),1.836,DENIED
169.8463333,2,Verstappen,DP2 (4550m),3.781,DENIED
170.6796667,2,Albon,DP1 (3510m),2.826,DENIED
171.8796667,2,George Russell,DP2 (4550m),1.623,DENIED
175.7093333,2,Ocon,DP1 (3510m),4.496,DENIED
175.9426667,2,Stroll,DP1 (3510m),0.181,ELIGIBLE
177.1426667,2,Yuki,DP1 (3510m),1.076,DENIED
177.576,2,Sainz,DP1 (3510m),0.379,ELIGIBLE
177.976,2,Gasly,DP1 (3510m),0.309,ELIGIBLE
178.176,2,Hulkenberg,DP1 (3510m),0.147,ELIGIBLE
178.4426667,2,Bearman,DP1 (3510m),0.152,ELIGIBLE
178.476,2,Hadjar,DP1 (3510m),0.009,ELIGIBLE
179.976,2,Alonso,DP1 (3510m),1.314,DENIED
180.176,2,Lawson,DP1 (3510m),0.135,ELIGIBLE
180.376,2,Bortoleto,DP1 (3510m),0.138,ELIGIBLE
180.576,2,Colapinto,DP1 (3510m),0.139,ELIGIBLE
183.0093333,2,Charles Leclerc,DP2 (4550m),10.247,DENIED
185.4093333,2,Antonelli,DP2 (4550m),2.134,ELIGIBLE
185.8426667,2,Lewis Hamilton,DP2 (4550m),0.282,DENIED
189.1093333,2,Albon,DP2 (4550m),3.067,DENIED
195.676,2,Ocon,DP2 (4550m),6.166,DENIED
195.9426667,2,Stroll,DP2 (4550m),0.082,ELIGIBLE
196.8093333,2,Sainz,DP2 (4550m),0.666,ELIGIBLE
197.0426667,2,Yuki,DP2 (4550m),0.092,ELIGIBLE
197.876,2,Hadjar,DP2 (4550m),0.807,ELIGIBLE
197.976,2,Gasly,DP2 (4550m),0.006,ELIGIBLE
198.2093333,2,Hulkenberg,DP2 (4550m),0.095,ELIGIBLE
198.4093333,2,Bearman,DP2 (4550m),0.097,ELIGIBLE
199.976,2,Alonso,DP2 (4550m),1.291,DENIED
200.176,2,Lawson,DP2 (4550m),0.158,ELIGIBLE
200.376,2,Bortoleto,DP2 (4550m),0.151,ELIGIBLE
200.576,2,Colapinto,DP2 (4550m),0.173,ELIGIBLE
230.9343333,3,Oscar Piastri,DP1 (3510m),0,DENIED
231.901,3,Lando Norris,DP1 (3510m),0.883,ELIGIBLE
239.601,3,Verstappen,DP1 (3510m),7.25,DENIED
248.2676667,3,Oscar Piastri,DP2 (4550m),0,DENIED
249.4676667,3,George Russell,DP1 (3510m),7.719,DENIED
250.2676667,3,Lando Norris,DP2 (4550m),2.006,DENIED
254.6676667,3,Charles Leclerc,DP1 (3510m),4.5,DENIED
260.9973333,3,Verstappen,DP2 (4550m),9.933,DENIED
261.0973333,3,Lewis Hamilton,DP1 (3510m),6.043,DENIED
266.7973333,3,Antonelli,DP1 (3510m),5.474,DENIED
266.9306667,3,George Russell,DP2 (4550m),6.287,DENIED
269.8306667,3,Albon,DP1 (3510m),3.074,DENIED
272.5306667,3,Charles Leclerc,DP2 (4550m),6.236,DENIED
275.9306667,3,Ocon,DP1 (3510m),5.395,DENIED
275.964,3,Hadjar,DP1 (3510m),0.038,ELIGIBLE
276.7306667,3,Hulkenberg,DP1 (3510m),0.6,ELIGIBLE
278.064,3,Stroll,DP1 (3510m),1.242,DENIED
278.364,3,Sainz,DP1 (3510m),0.291,ELIGIBLE
278.8973333,3,Gasly,DP1 (3510m),0.437,ELIGIBLE
279.064,3,Lewis Hamilton,DP2 (4550m),6.252,DENIED
279.164,3,Yuki,DP1 (3510m),0.248,ELIGIBLE
280.264,3,Alonso,DP1 (3510m),0.887,ELIGIBLE
280.3973333,3,Bearman,DP1 (3510m),0.093,ELIGIBLE
280.964,3,Lawson,DP1 (3510m),0.467,ELIGIBLE
282.164,3,Bortoleto,DP1 (3510m),0.989,ELIGIBLE
282.2973333,3,Colapinto,DP1 (3510m),0.134,ELIGIBLE
283.6973333,3,Antonelli,DP2 (4550m),4.323,DENIED
289.3603333,3,Albon,DP2 (4550m),5.462,DENIED
295.527,3,Ocon,DP2 (4550m),5.11,DENIED
295.8936667,3,Hadjar,DP2 (4550m),0.261,ELIGIBLE
296.027,3,Hulkenberg,DP2 (4550m),0.108,ELIGIBLE
298.127,3,Stroll,DP2 (4550m),1.711,DENIED
298.3603333,3,Sainz,DP2 (4550m),0.16,ELIGIBLE
299.027,3,Gasly,DP2 (4550m),0.458,ELIGIBLE
