round,time_sec,position,driver,distance_km,gap_to_leader_km
0,0.0,1,Verstappen,0.0,0.0
0,0.0,2,Lando Norris,-0.01,0.01
0,0.0,3,Charles Leclerc,-0.02,0.02
0,0.0,4,Oscar Piastri,-0.03,0.03
0,0.0,5,Sainz,-0.04,0.04
0,0.0,6,George Russell,-0.05,0.05
0,0.0,7,Lewis Hamilton,-0.06,0.06
0,0.0,8,Alonso,-0.07,0.07
0,0.0,9,Gasly,-0.08,0.08
0,0.0,10,Hulkenberg,-0.09,0.09
0,0.0,11,Yuki,-0.1,0.1
0,0.0,12,Stroll,-0.11,0.11
0,0.0,13,Ocon,-0.12,0.12
0,0.0,14,Albon,-0.13,0.13
0,0.0,15,Bearman,-0.14,0.14
0,0.0,16,Colapinto,-0.15,0.15
0,0.0,17,Lawson,-0.16,0.16
0,0.0,18,Bortoleto,-0.17,0.17
0,0.0,19,Hadjar,-0.18,0.18
0,0.0,20,Antonelli,-0.19,0.19
1,28.763,1,Lando Norris,1.7279,0.0
1,28.763,2,Verstappen,1.6179,0.11
1,28.763,3,George Russell,1.5708,0.1571
1,28.763,4,Antonelli,1.5237,0.2042
1,28.763,5,Albon,1.4923,0.2356
1,28.763,6,Stroll,1.4609,0.267
1,28.763,7,Hulkenberg,1.4294,0.2985
1,28.763,8,Charles Leclerc,1.398,0.3299
1,28.763,9,Oscar Piastri,1.3666,0.3613
1,28.763,10,Lewis Hamilton,1.3509,0.377
1,28.763,11,Sainz,1.3352,0.3927
1,28.763,12,Alonso,1.3252,0.4027
1,28.763,13,Hadjar,1.3152,0.4127
1,28.763,14,Bearman,1.3052,0.4227
1,28.763,15,Lawson,1.2952,0.4327
1,28.763,16,Ocon,1.2852,0.4427
1,28.763,17,Yuki,1.2752,0.4527
1,28.763,18,Gasly,1.2652,0.4627
1,28.763,19,Bortoleto,1.2552,0.4727
1,28.763,20,Colapinto,1.2452,0.4827
2,57.525,1,Lando Norris,3.4558,0.0
2,57.525,2,Verstappen,3.3301,0.1257
2,57.525,3,George Russell,3.3144,0.1414
2,57.525,4,Oscar Piastri,3.2987,0.1571
2,57.525,5,Antonelli,3.1102,0.3456
2,57.525,6,Albon,3.016,0.4398
2,57.525,7,Ocon,2.9217,0.5341
2,57.525,8,Stroll,2.9117,0.5441
2,57.525,9,Lewis Hamilton,2.9017,0.5541
2,57.525,10,Charles Leclerc,2.8903,0.5655
2,57.525,11,Hulkenberg,2.8589,0.5969
2,57.525,12,Bearman,2.8275,0.6283
2,57.525,13,Yuki,2.8118,0.644
2,57.525,14,Sainz,2.7803,0.6755
2,57.525,15,Alonso,2.7646,0.6912
2,57.525,16,Hadjar,2.7546,0.7012
2,57.525,17,Lawson,2.7446,0.7112
2,57.525,18,Gasly,2.7346,0.7212
2,57.525,19,Bortoleto,2.7246,0.7312
2,57.525,20,Colapinto,2.7146,0.7412
3,86.288,1,Lando Norris,5.1837,0.0
